"","name","timescale","kvalue","restraint","ktvalue","kcalvalue","kjvalue"
"1","analysis_5ns-k100ex3-1.out","5ns","k100","ex3",2.21111468348316,0.1602055822917,0.670299416297919
"2","analysis_5ns-k100ex3-2.out","5ns","k100","ex3",0.359599097481649,0.0260546335447717,0.109012466401562
"3","analysis_5ns-k100ex3-3.out","5ns","k100","ex3",2.07803775205608,0.150563537286924,0.629957144535801
"4","analysis_5ns-k100simple-1.out","5ns","k100","simple",2.39223925718728,0.173328903309086,0.725207330816324
"5","analysis_5ns-k100simple-2.out","5ns","k100","simple",0.983008482106957,0.0712235540969511,0.297999021350724
"6","analysis_5ns-k100simple-3.out","5ns","k100","simple",1.96757063721147,0.142559679056519,0.596469038670658
"7","analysis_5ns-k10ex3-1.out","5ns","k10","ex3",1.01799174434493,0.0737582547794453,0.308604197298165
"8","analysis_5ns-k10ex3-2.out","5ns","k10","ex3",1.32915298964313,0.0963033397820382,0.402932728810315
"9","analysis_5ns-k10ex3-3.out","5ns","k10","ex3",1.59746882293371,0.115744074643734,0.484272673672353
"10","analysis_5ns-k10simple-1.out","5ns","k10","simple",1.23262754976414,0.0893096209951792,0.373671041711
"11","analysis_5ns-k10simple-2.out","5ns","k10","simple",-0.22381718575722,-0.0162166000881692,-0.0678501798623012
"12","analysis_5ns-k10simple-3.out","5ns","k10","simple",0.64602322880739,0.0468073991449484,0.19584194181296
"13","analysis_5ns-k3ex3-1.out","5ns","k3","ex3",1.86316720536895,0.134995162970345,0.564819138307596
"14","analysis_5ns-k3ex3-2.out","5ns","k3","ex3",2.39097253089084,0.173237123074691,0.724823322739559
"15","analysis_5ns-k3ex3-3.out","5ns","k3","ex3",0.994741959483576,0.0720736993153197,0.301556025017446
"16","analysis_5ns-k3simple-1.out","5ns","k3","simple",1.83164307656666,0.132711092655615,0.555262598661184
"17","analysis_5ns-k3simple-2.out","5ns","k3","simple",2.22371128840147,0.161118265130321,0.674118077078905
"18","analysis_5ns-k3simple-3.out","5ns","k3","simple",2.2524332707839,0.163199306853992,0.68282514603814
"19","analysis_5ns-norestraints-1.out","5ns","","norestraint",1.29742938466819,0.0940048164872646,0.393315717962162
"20","analysis_5ns-norestraints-2.out","5ns","","norestraint",1.86858302712882,0.135387564542778,0.566460944674101
"21","analysis_5ns-norestraints-3.out","5ns","","norestraint",1.12077138867932,0.0812051198793533,0.339761846478136
