name,timescale,kvalue,restraint,ktvalue
analysis_5ns-k100ex3-1.out,5ns,k100,ex3,-1.0368537387112724
analysis_5ns-k100ex3-2.out,5ns,k100,ex3,-1.399667936575085
analysis_5ns-k100ex3-3.out,5ns,k100,ex3,-0.8683870494229637
analysis_5ns-k100simple-1.out,5ns,k100,simple,-2.082496309576598
analysis_5ns-k100simple-2.out,5ns,k100,simple,-1.6652821986906758
analysis_5ns-k100simple-3.out,5ns,k100,simple,-1.665644762276898
analysis_5ns-k10ex3-1.out,5ns,k10,ex3,-0.15892183066053178
analysis_5ns-k10ex3-2.out,5ns,k10,ex3,1.201464889798352
analysis_5ns-k10ex3-3.out,5ns,k10,ex3,-0.5970935243013358
analysis_5ns-k10simple-1.out,5ns,k10,simple,-1.57365539408368
analysis_5ns-k10simple-2.out,5ns,k10,simple,-1.210656175973945
analysis_5ns-k10simple-3.out,5ns,k10,simple,-6.669831758456809
analysis_5ns-k3ex3-1.out,5ns,k3,ex3,-0.40117529749563374
analysis_5ns-k3ex3-2.out,5ns,k3,ex3,-1.6124194681134583
analysis_5ns-k3ex3-3.out,5ns,k3,ex3,-2.3177375022347206
analysis_5ns-k3simple-1.out,5ns,k3,simple,-0.39904426368544677
analysis_5ns-k3simple-2.out,5ns,k3,simple,-2.701451248383222
analysis_5ns-k3simple-3.out,5ns,k3,simple,-3.451540286401894
analysis_5ns-norestraints-1.out,5ns,,norestraint,-1.9881174715275876
analysis_5ns-norestraints-2.out,5ns,,norestraint,-2.7989160927380254
analysis_5ns-norestraints-3.out,5ns,,norestraint,-1.3216960032870304
